year,Europe,Italy
2015,0.14480000012554226,0.0339999995194375
2016,0.18742500245571125,0.044000001003345
2017,0.1823499996680765,0.05266666660706234
2018,0.2410000008530915,0.08733333150545768
2019,0.34275000356137775,0.2566666702429453
2020,0.5282500060275203,0.33333334326744063
2021,0.7997499890625465,0.503333325187365
2022,1.156750013120474,0.6900000075499216
2023,1.6849999986588955,0.9833333293596896
